selection_key,order_id,order_number,item_index,product_id,variant_id,sku,name,quantity,price,subtotal,total,currency,raw_item_json
order:66642,66642,66642,14,39832,,SH276027,MUÑECA SIRENA CON ACCESORIOS,48,68.97,3310.56,3310.56,MXN,"{""id"":""39832"",""productId"":""39832"",""variantId"":"""",""sku"":""SH276027"",""name"":""MUÑECA SIRENA CON ACCESORIOS"",""quantity"":48,""price"":68.97,""subtotal"":3310.56,""lineTotal"":3310.56,""currency"":"""",""rawItem"":{""id"":""39832"",""sku"":""SH276027"",""name"":""MUÑECA SIRENA CON ACCESORIOS"",""price"":68.97,""quantity"":48,""subtotal"":3310.56,""line_total"":3310.56,""product_id"":""39832"",""variant_id"":null}}"
order:66642,66642,66642,15,36163,,SH79320,MUÑECA.,240,14.66,3518.40,3518.40,MXN,"{""id"":""36163"",""productId"":""36163"",""variantId"":"""",""sku"":""SH79320"",""name"":""MUÑECA."",""quantity"":240,""price"":14.66,""subtotal"":3518.4,""lineTotal"":3518.4,""currency"":"""",""rawItem"":{""id"":""36163"",""sku"":""SH79320"",""name"":""MUÑECA."",""price"":14.66,""quantity"":240,""subtotal"":3518.4,""line_total"":3518.4,""product_id"":""36163"",""variant_id"":null}}"
order:66642,66642,66642,16,39938,,SH286457,MUÑECA CON ACCESORIOS,144,33.62,4841.28,4841.28,MXN,"{""id"":""39938"",""productId"":""39938"",""variantId"":"""",""sku"":""SH286457"",""name"":""MUÑECA CON ACCESORIOS"",""quantity"":144,""price"":33.62,""subtotal"":4841.28,""lineTotal"":4841.28,""currency"":"""",""rawItem"":{""id"":""39938"",""sku"":""SH286457"",""name"":""MUÑECA CON ACCESORIOS"",""price"":33.62,""quantity"":144,""subtotal"":4841.28,""line_total"":4841.28,""product_id"":""39938"",""variant_id"":null}}"
order:66642,66642,66642,17,39447,,SH253655,MUÑECA CON ACCESORIOS,36,93.97,3382.92,3382.92,MXN,"{""id"":""39447"",""productId"":""39447"",""variantId"":"""",""sku"":""SH253655"",""name"":""MUÑECA CON ACCESORIOS"",""quantity"":36,""price"":93.97,""subtotal"":3382.92,""lineTotal"":3382.92,""currency"":"""",""rawItem"":{""id"":""39447"",""sku"":""SH253655"",""name"":""MUÑECA CON ACCESORIOS"",""price"":93.97,""quantity"":36,""subtotal"":3382.92,""line_total"":3382.92,""product_id"":""39447"",""variant_id"":null}}"
order:66642,66642,66642,18,38718,,SWA1964,MANITA PEGAJOSA,288,8.63,2485.44,2485.44,MXN,"{""id"":""38718"",""productId"":""38718"",""variantId"":"""",""sku"":""SWA1964"",""name"":""MANITA PEGAJOSA"",""quantity"":288,""price"":8.63,""subtotal"":2485.44,""lineTotal"":2485.44,""currency"":"""",""rawItem"":{""id"":""38718"",""sku"":""SWA1964"",""name"":""MANITA PEGAJOSA"",""price"":8.63,""quantity"":288,""subtotal"":2485.44,""line_total"":2485.44,""product_id"":""38718"",""variant_id"":null}}"
order:66642,66642,66642,19,66512,,BLUEY16,LIBRO PARA COLOREAR16 PAGS BLUEY,100,10.00,1000.00,1000.00,MXN,"{""id"":""66512"",""productId"":""66512"",""variantId"":"""",""sku"":""BLUEY16"",""name"":""LIBRO PARA COLOREAR16 PAGS BLUEY"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""66512"",""sku"":""BLUEY16"",""name"":""LIBRO PARA COLOREAR16 PAGS BLUEY"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""66512"",""variant_id"":null}}"
order:66642,66642,66642,20,42475,,STITCH16,LIBRO PARA COLOREAR 16 PGS STITCH,100,10.00,1000.00,1000.00,MXN,"{""id"":""42475"",""productId"":""42475"",""variantId"":"""",""sku"":""STITCH16"",""name"":""LIBRO PARA COLOREAR 16 PGS STITCH"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""42475"",""sku"":""STITCH16"",""name"":""LIBRO PARA COLOREAR 16 PGS STITCH"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""42475"",""variant_id"":null}}"
order:66642,66642,66642,21,38069,,MASHA16,LIBRO PARA COLOREAR 16 PGS MASHA Y EL OSO,100,10.00,1000.00,1000.00,MXN,"{""id"":""38069"",""productId"":""38069"",""variantId"":"""",""sku"":""MASHA16"",""name"":""LIBRO PARA COLOREAR 16 PGS MASHA Y EL OSO"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""38069"",""sku"":""MASHA16"",""name"":""LIBRO PARA COLOREAR 16 PGS MASHA Y EL OSO"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""38069"",""variant_id"":null}}"
order:66642,66642,66642,22,36820,,BEBES16,LIBRO PARA COLOREAR 16 PGS BEBES,100,10.00,1000.00,1000.00,MXN,"{""id"":""36820"",""productId"":""36820"",""variantId"":"""",""sku"":""BEBES16"",""name"":""LIBRO PARA COLOREAR 16 PGS BEBES"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""36820"",""sku"":""BEBES16"",""name"":""LIBRO PARA COLOREAR 16 PGS BEBES"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""36820"",""variant_id"":null}}"
order:66642,66642,66642,23,42421,,BABYSHARK16,LIBRO PARA COLOREAR 16 PGS BABY SHARK,100,10.00,1000.00,1000.00,MXN,"{""id"":""42421"",""productId"":""42421"",""variantId"":"""",""sku"":""BABYSHARK16"",""name"":""LIBRO PARA COLOREAR 16 PGS BABY SHARK"",""quantity"":100,""price"":10,""subtotal"":1000,""lineTotal"":1000,""currency"":"""",""rawItem"":{""id"":""42421"",""sku"":""BABYSHARK16"",""name"":""LIBRO PARA COLOREAR 16 PGS BABY SHARK"",""price"":10,""quantity"":100,""subtotal"":1000,""line_total"":1000,""product_id"":""42421"",""variant_id"":null}}"
