selection_key,order_id,order_number,session_id,session_index,started_at_inferred,ended_at_inferred,event_count,purchase_event_count,entry_page,exit_page,landing_page_url,utm_source,utm_medium,utm_campaign,utm_content,utm_term,ga4_session_source,referrer,gclid,fbp,fbc,ttclid,source_explanation
order:66642,66642,66642,17ab685f-fd3f-4d94-a352-af97d84e9617,1,2026-04-13T22:40:29.241Z,2026-04-13T22:42:26.714Z,10,1,/,/checkout-2/order-received/66642/,https://shogun.mx/?srsltid=AfmBOorVP8pg2Avu2bDFsLVGEylkAEvsb3WOUHgzDVVnw2p2c5krJJ1o,,,,,,,google.com,CjwKCAjwvqjOBhAGEiwAngeQna0gYp-UIdJPrrDX07-MBmb8ddPhAew07Xe8zs0RRAfniixDZwN5ahoCpJwQAvD_BwE,fb.1.1762816591295.1569355318.AQ,,,"Session 1 opened after a Google Ads click from click CjwK..._BwE (CjwK..._BwE), landing on /. Purchase completed in this session."
order:66630,66630,66630,f11742c2-ac0d-416c-941f-3e16919d47e9,1,2026-04-13T16:47:42.334Z,2026-04-13T16:48:13.903Z,2,0,/checkout-2/,/checkout-2/,https://shogun.mx/checkout-2/,google,cpc,adray_google_test,session_1,test_keyword,,,,fb.1.1776098726425.396350856.AQECAQIB,,,"Session 1 opened through Google Ads campaign adray_google_test, landing on /checkout-2/. Browsing and consideration."
order:66630,66630,66630,e36aec29-3bee-44d8-94b1-bf1ea22cfef3,2,2026-04-13T20:35:02.336Z,2026-04-13T20:36:19.849Z,10,1,/,/checkout-2/order-received/66630/,https://shogun.mx/?utm_source=meta&utm_medium=paid_social&utm_campaign=adray_meta_test&utm_content=session_2,meta,paid_social,adray_meta_test,session_2,,meta / paid_social,,,fb.1.1776112487051.849435539.AQECAQIB,,,"Session 2 opened through Meta Ads campaign adray_meta_test, landing on /. Purchase completed in this session."
order:66625,66625,66625,dc217c25-861d-4232-8fb0-20a4033990bc,1,2026-04-13T18:13:11.990Z,2026-04-13T18:47:05.387Z,11,1,/,/checkout-2/order-received/66625/,https://shogun.mx/?srsltid=AfmBOopFjONtj3qocOK4nPr3uRNaV5enmkcpZF2AaAr0SgpiK4Ple4pg,,,,,,,google.com,,fb.1.1775767688013.1586259632.AQECAQIB,,,"Session 1 opened from Google Organic traffic coming from google.com, landing on /. Purchase completed in this session."
order:66613,66613,66613,89daf5ef-fa95-42f1-b631-a96b01f578fe,1,2026-04-13T14:51:55.237Z,2026-04-13T16:35:47.396Z,145,0,/categoria/juguetes/page/10/,/checkout-2/,https://shogun.mx/categoria/juguetes/page/10/?orderby=price,fb,paid,120240487026730460,120240487026770460,120240487026920460,,,,fb.1.1776049447526.144843091.AQECAQIB,fb.1.1776049447526.IwYW9zYgRJPHVleHRuA2FlbQEwAGFkaWQBqzRlT-iujHNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHqH3RI0d5T1hLRVdHmMvOf4R5JBO--yFNXrOl1vjcD2cT71svoKk-_wB7Qut_aem_DRECwrlbocoP_TKEK6OWLg.AQECAQIB,,"Session 1 opened after a Meta Ads click from campaign 120240487026730460 (IwYW...OWLg), landing on /categoria/juguetes/page/10/. Reached checkout in this session."
order:66613,66613,66613,202d6bc6-95fb-43fd-bedd-81448f8a287c,2,2026-04-13T16:35:49.721Z,2026-04-13T16:35:49.721Z,1,1,/checkout-2/order-received/66613/,/checkout-2/order-received/66613/,https://shogun.mx/checkout-2/order-received/66613/?key=wc_order_mCh7rFDuXb8cy,(direct),,,,,,,,fb.1.1776049447526.144843091.AQECAQIB,fb.1.1776049447526.IwYW9zYgRJPHVleHRuA2FlbQEwAGFkaWQBqzRlT-iujHNydGMGYXBwX2lkDDM1MDY4NTUzMTcyOAABHqH3RI0d5T1hLRVdHmMvOf4R5JBO--yFNXrOl1vjcD2cT71svoKk-_wB7Qut_aem_DRECwrlbocoP_TKEK6OWLg.AQECAQIB,,"Session 2 opened after a Meta Ads click from ad 120240487026920460 (fb.1...AQIB), landing on /checkout-2/order-received/66613/. Purchase completed in this session."
